ID,condition,question,prevalence,trial
1055,generic,q7,73,3
1055,generic,q8,61,6
1055,generic,q9,81,7
1055,generic,q10,39,15
1055,generic,q30,7,13
1055,generic,q14,43,11
1055,generic,q16,7,10
1055,generic,q22,33,2
1055,generic,q20,10,1
1055,generic,q24,30,5
1055,generic,q27,50,4
1055,generic,q40,85,17
1055,generic,q39,42,16
1055,generic,q34,11,14
1055,generic,q35,86,9
1055,generic,q32,17,12
1056,baseline,q7,95,14
1056,baseline,q8,4,8
1056,baseline,q9,50,17
1056,baseline,q10,38,16
1056,baseline,q30,50,4
1056,baseline,q14,81,7
1056,baseline,q16,56,6
1056,baseline,q22,38,11
1056,baseline,q20,15,5
1056,baseline,q24,37,9
1056,baseline,q27,89,2
1056,baseline,q40,65,15
1056,baseline,q39,82,13
1056,baseline,q34,42,10
1056,baseline,q35,90,3
1056,baseline,q32,10,12
1057,generic,q7,100,3
1057,generic,q8,100,5
1057,generic,q9,100,16
1057,generic,q10,100,4
1057,generic,q30,100,15
1057,generic,q14,100,6
1057,generic,q16,100,17
1057,generic,q22,100,9
1057,generic,q20,100,8
1057,generic,q24,100,14
1057,generic,q27,100,13
1057,generic,q40,100,10
1057,generic,q39,100,11
1057,generic,q34,100,7
1057,generic,q35,100,2
1057,generic,q32,100,1
1058,generic,q7,1,4
1058,generic,q8,1,13
1058,generic,q9,10,6
1058,generic,q10,5,11
1058,generic,q30,20,9
1058,generic,q14,5,7
1058,generic,q16,15,15
1058,generic,q22,3,14
1058,generic,q20,5,17
1058,generic,q24,5,10
1058,generic,q27,5,5
1058,generic,q40,50,12
1058,generic,q39,0,3
1058,generic,q34,1,16
1058,generic,q35,0,2
1058,generic,q32,0,1
1059,generic,q7,40,8
1059,generic,q8,5,7
1059,generic,q9,35,15
1059,generic,q10,20,13
1059,generic,q30,1,17
1059,generic,q14,0,14
1059,generic,q16,0,3
1059,generic,q22,75,9
1059,generic,q20,0,2
1059,generic,q24,35,10
1059,generic,q27,75,5
1059,generic,q40,80,12
1059,generic,q39,25,1
1059,generic,q34,15,6
1059,generic,q35,25,16
1059,generic,q32,25,11
1060,specific,q7,5,10
1060,specific,q8,1,12
1060,specific,q9,10,13
1060,specific,q10,15,15
1060,specific,q30,1,6
1060,specific,q14,5,5
1060,specific,q16,1,7
1060,specific,q22,5,9
1060,specific,q20,60,14
1060,specific,q24,10,2
1060,specific,q27,5,16
1060,specific,q40,25,11
1060,specific,q39,5,8
1060,specific,q34,5,3
1060,specific,q35,10,4
1060,specific,q32,100,1
1061,specific,q7,60,17
1061,specific,q8,7,2
1061,specific,q9,95,10
1061,specific,q10,36,4
1061,specific,q30,28,7
1061,specific,q14,38,16
1061,specific,q16,15,6
1061,specific,q22,58,14
1061,specific,q20,2,9
1061,specific,q24,14,1
1061,specific,q27,72,8
1061,specific,q40,100,11
1061,specific,q39,17,15
1061,specific,q34,0,3
1061,specific,q35,65,5
1061,specific,q32,8,12
1062,baseline,q7,53,15
1062,baseline,q8,71,3
1062,baseline,q9,69,13
1062,baseline,q10,42,2
1062,baseline,q30,37,16
1062,baseline,q14,75,1
1062,baseline,q16,96,5
1062,baseline,q22,84,4
1062,baseline,q20,16,6
1062,baseline,q24,35,7
1062,baseline,q27,83,9
1062,baseline,q40,96,11
1062,baseline,q39,36,14
1062,baseline,q34,7,8
1062,baseline,q35,81,12
1062,baseline,q32,58,10
1063,baseline,q7,25,10
1063,baseline,q8,10,3
1063,baseline,q9,25,2
1063,baseline,q10,10,14
1063,baseline,q30,1,11
1063,baseline,q14,5,6
1063,baseline,q16,50,16
1063,baseline,q22,2,15
1063,baseline,q20,2,12
1063,baseline,q24,15,13
1063,baseline,q27,50,7
1063,baseline,q40,25,17
1063,baseline,q39,2,4
1063,baseline,q34,50,1
1063,baseline,q35,75,8
1063,baseline,q32,1,5
1064,baseline,q7,12,7
1064,baseline,q8,12,6
1064,baseline,q9,18,8
1064,baseline,q10,10,1
1064,baseline,q30,38,11
1064,baseline,q14,6,17
1064,baseline,q16,6,2
1064,baseline,q22,6,14
1064,baseline,q20,9,15
1064,baseline,q24,18,4
1064,baseline,q27,6,13
1064,baseline,q40,38,3
1064,baseline,q39,6,9
1064,baseline,q34,8,12
1064,baseline,q35,21,16
1064,baseline,q32,5,10
1065,generic,q7,50,2
1065,generic,q8,1,13
1065,generic,q9,32,6
1065,generic,q10,9,14
1065,generic,q30,51,3
1065,generic,q14,77,4
1065,generic,q16,50,7
1065,generic,q22,14,17
1065,generic,q20,25,8
1065,generic,q24,14,11
1065,generic,q27,86,9
1065,generic,q40,36,12
1065,generic,q39,50,16
1065,generic,q34,73,1
1065,generic,q35,80,5
1065,generic,q32,39,10
1066,baseline,q7,100,2
1066,baseline,q8,70,12
1066,baseline,q9,10,15
1066,baseline,q10,5,10
1066,baseline,q30,50,8
1066,baseline,q14,50,1
1066,baseline,q16,100,4
1066,baseline,q22,90,13
1066,baseline,q20,20,3
1066,baseline,q24,10,6
1066,baseline,q27,95,11
1066,baseline,q40,40,7
1066,baseline,q39,25,16
1066,baseline,q34,80,9
1066,baseline,q35,90,17
1066,baseline,q32,75,14
1067,generic,q7,100,17
1067,generic,q8,50,6
1067,generic,q9,100,3
1067,generic,q10,100,9
1067,generic,q30,100,13
1067,generic,q14,100,12
1067,generic,q16,50,1
1067,generic,q22,100,8
1067,generic,q20,100,10
1067,generic,q24,100,2
1067,generic,q27,100,14
1067,generic,q40,100,15
1067,generic,q39,100,4
1067,generic,q34,100,7
1067,generic,q35,50,5
1067,generic,q32,50,11
1068,specific,q7,1,17
1068,specific,q8,1,10
1068,specific,q9,18,12
1068,specific,q10,9,16
1068,specific,q30,2,4
1068,specific,q14,3,3
1068,specific,q16,48,2
1068,specific,q22,1,8
1068,specific,q20,7,11
1068,specific,q24,27,1
1068,specific,q27,10,5
1068,specific,q40,12,9
1068,specific,q39,20,7
1068,specific,q34,1,13
1068,specific,q35,4,6
1068,specific,q32,2,14
1069,baseline,q7,61,17
1069,baseline,q8,33,8
1069,baseline,q9,53,11
1069,baseline,q10,40,9
1069,baseline,q30,43,4
1069,baseline,q14,34,14
1069,baseline,q16,43,13
1069,baseline,q22,44,5
1069,baseline,q20,8,2
1069,baseline,q24,34,10
1069,baseline,q27,72,16
1069,baseline,q40,70,7
1069,baseline,q39,14,15
1069,baseline,q34,37,3
1069,baseline,q35,24,1
1069,baseline,q32,44,6
1070,specific,q7,1,7
1070,specific,q8,5,15
1070,specific,q9,60,5
1070,specific,q10,20,11
1070,specific,q30,5,2
1070,specific,q14,35,10
1070,specific,q16,40,14
1070,specific,q22,15,6
1070,specific,q20,2,17
1070,specific,q24,5,4
1070,specific,q27,50,9
1070,specific,q40,75,12
1070,specific,q39,10,1
1070,specific,q34,0,8
1070,specific,q35,50,3
1070,specific,q32,20,13
1071,specific,q7,61,3
1071,specific,q8,24,1
1071,specific,q9,61,9
1071,specific,q10,41,13
1071,specific,q30,35,17
1071,specific,q14,15,10
1071,specific,q16,16,5
1071,specific,q22,36,8
1071,specific,q20,9,2
1071,specific,q24,51,7
1071,specific,q27,59,14
1071,specific,q40,67,15
1071,specific,q39,11,11
1071,specific,q34,12,6
1071,specific,q35,57,4
1071,specific,q32,37,12
1072,specific,q7,1,13
1072,specific,q8,1,8
1072,specific,q9,1,6
1072,specific,q10,5,3
1072,specific,q30,2,16
1072,specific,q14,1,10
1072,specific,q16,50,15
1072,specific,q22,3,11
1072,specific,q20,1,17
1072,specific,q24,1,4
1072,specific,q27,5,14
1072,specific,q40,1,12
1072,specific,q39,1,5
1072,specific,q34,1,9
1072,specific,q35,25,2
1072,specific,q32,10,1
1073,generic,q7,13,4
1073,generic,q8,14,8
1073,generic,q9,26,5
1073,generic,q10,16,2
1073,generic,q30,5,12
1073,generic,q14,3,16
1073,generic,q16,41,3
1073,generic,q22,33,6
1073,generic,q20,15,17
1073,generic,q24,16,13
1073,generic,q27,9,14
1073,generic,q40,40,15
1073,generic,q39,3,11
1073,generic,q34,3,9
1073,generic,q35,8,1
1073,generic,q32,5,7
1074,baseline,q7,90,16
1074,baseline,q8,71,10
1074,baseline,q9,51,13
1074,baseline,q10,14,6
1074,baseline,q30,46,1
1074,baseline,q14,77,14
1074,baseline,q16,3,7
1074,baseline,q22,33,2
1074,baseline,q20,18,11
1074,baseline,q24,11,3
1074,baseline,q27,46,8
1074,baseline,q40,59,12
1074,baseline,q39,43,15
1074,baseline,q34,8,17
1074,baseline,q35,90,5
1074,baseline,q32,25,9
1075,baseline,q7,25,9
1075,baseline,q8,1,16
1075,baseline,q9,10,14
1075,baseline,q10,5,17
1075,baseline,q30,50,10
1075,baseline,q14,50,2
1075,baseline,q16,25,5
1075,baseline,q22,5,4
1075,baseline,q20,5,3
1075,baseline,q24,25,1
1075,baseline,q27,50,13
1075,baseline,q40,25,8
1075,baseline,q39,5,6
1075,baseline,q34,5,15
1075,baseline,q35,50,7
1075,baseline,q32,25,12
1076,generic,q7,1,11
1076,generic,q8,0,7
1076,generic,q9,12,1
1076,generic,q10,3,9
1076,generic,q30,5,13
1076,generic,q14,1,4
1076,generic,q16,35,10
1076,generic,q22,0,12
1076,generic,q20,2,17
1076,generic,q24,25,15
1076,generic,q27,1,14
1076,generic,q40,55,16
1076,generic,q39,1,5
1076,generic,q34,0,6
1076,generic,q35,1,2
1076,generic,q32,5,8
1077,generic,q7,100,3
1077,generic,q8,87,8
1077,generic,q9,23,5
1077,generic,q10,24,12
1077,generic,q30,100,17
1077,generic,q14,100,16
1077,generic,q16,100,6
1077,generic,q22,76,7
