ID,condition,live_caves,ride_lions,farm_potatoes,play_banjo,look_left,clap_three,smile_sad,chug_syrup,yell_cats,go_opera,dance_fire,sing_songs,scream_windows,smell_garbage,wash_ponds,paint_hands,Ethnicity,Gender,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,trial1,trial2,trial3,trial4,trial5,trial6,trial7,trial8,trial9,trial10,trial11,trial12,trial13,trial14,trial15,trial16,trial17
1055,generic,73,61,81,39,7,43,7,33,10,30,50,85,42,11,86,17,White/Caucasian,Woman (including Trans Female/Trans Woman),English,35,Female,White,United States,United States,United States,English,No,Full-Time,cats,maple syrup,cave,dance,opera,lion,potatoes,attention I1,pond,sad,clap,yellow,look left,garbage,banjo,window,song
1056,baseline,95,4,50,38,50,81,56,38,15,37,89,65,82,42,90,10,White/Caucasian,Woman (including Trans Female/Trans Woman),English,36,Female,White,United States,United States,United States,English,No,Full-Time,attention I1,dance,pond,look left,cats,sad,clap,lion,opera,garbage,maple syrup,yellow,window,cave,song,banjo,potatoes
1057,generic,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,East Asian,Man (including Trans Male/Trans Man),English,37,Male,Asian,United States,United States,United States,English,No,Full-Time,yellow,pond,cave,banjo,lion,clap,garbage,cats,maple syrup,song,window,attention I1,dance,opera,look left,potatoes,sad
1058,generic,1,1,10,5,20,5,15,3,5,5,5,50,0,1,0,0,White/Caucasian,Woman (including Trans Female/Trans Woman),English,32,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking),yellow,pond,window,cave,dance,potatoes,clap,attention I1,look left,opera,banjo,song,lion,maple syrup,sad,garbage,cats
1059,generic,40,5,35,20,1,0,0,75,0,35,75,80,25,15,25,25,South Asian,Man (including Trans Male/Trans Man),English,27,Male,Asian,United States,United States,United States,English,Yes,Full-Time,window,cats,sad,attention I1,dance,garbage,lion,cave,maple syrup,opera,yellow,song,banjo,clap,potatoes,pond,look left
1060,specific,5,1,10,15,1,5,1,5,60,10,5,25,5,5,10,100,White/Caucasian,Woman (including Trans Female/Trans Woman),English,74,Female,White,United States,United States,United States,English,DATA_EXPIRED,"Not in paid work (e.g. homemaker', 'retired or disabled)",yellow,opera,garbage,pond,clap,look left,sad,window,maple syrup,cave,song,lion,potatoes,cats,banjo,dance,attention I1
1061,specific,60,7,95,36,28,38,15,58,2,14,72,100,17,0,65,8,Black/African American,Woman (including Trans Female/Trans Woman),English,31,Female,Mixed,United States,United States,United States,English,No,Full-Time,opera,lion,garbage,banjo,pond,sad,look left,dance,cats,potatoes,song,yellow,attention I1,maple syrup,window,clap,cave
1062,baseline,53,71,69,42,37,75,96,84,16,35,83,96,36,7,81,58,South Asian,Man (including Trans Male/Trans Man),English,43,Male,Asian,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,clap,banjo,lion,maple syrup,sad,cats,opera,garbage,dance,yellow,song,pond,potatoes,window,cave,look left,attention I1
1063,baseline,25,10,25,10,1,5,50,2,2,15,50,25,2,50,75,1,White/Caucasian,Woman (including Trans Female/Trans Woman),English,62,Female,White,United States,United States,United States,English,No,Full-Time,garbage,potatoes,lion,window,yellow,clap,dance,pond,attention I1,cave,look left,cats,opera,banjo,maple syrup,sad,song
1064,baseline,12,12,18,10,38,6,6,6,9,18,6,38,6,8,21,5,White/Caucasian,Man (including Trans Male/Trans Man),English,38,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking),banjo,sad,song,opera,attention I1,lion,cave,potatoes,window,yellow,look left,garbage,dance,maple syrup,cats,pond,clap
1065,generic,50,1,32,9,51,77,50,14,25,14,86,36,50,73,80,39,White/Caucasian,Man (including Trans Male/Trans Man),English,46,Male,White,United States,United States,United States,English,No,Full-Time,garbage,cave,look left,clap,pond,potatoes,sad,cats,dance,yellow,opera,song,lion,banjo,attention I1,window,maple syrup
1066,baseline,100,70,10,5,50,50,100,90,20,10,95,40,25,80,90,75,White/Caucasian,Man (including Trans Male/Trans Man),English,39,Male,White,United States,United States,United States,English,No,Part-Time,clap,cave,cats,sad,attention I1,opera,song,look left,garbage,banjo,dance,lion,maple syrup,yellow,potatoes,window,pond
1067,generic,100,50,100,100,100,100,50,100,100,100,100,100,100,100,50,50,White/Caucasian,Man (including Trans Male/Trans Man),English,62,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",sad,opera,potatoes,window,pond,lion,garbage,maple syrup,banjo,cats,yellow,clap,look left,dance,song,attention I1,cave
1068,specific,1,1,18,9,2,3,48,1,7,27,10,12,20,1,4,2,White/Caucasian,Man (including Trans Male/Trans Man),English,46,Male,White,United States,United States,United States,English,No,Part-Time,opera,sad,clap,look left,dance,pond,window,maple syrup,song,lion,cats,potatoes,garbage,yellow,attention I1,banjo,cave
1069,baseline,61,33,53,40,43,34,43,44,8,34,72,70,14,37,24,44,Latino/Hispanic,Man (including Trans Male/Trans Man),English,53,Male,White,Argentina,United States,United States,Spanish,No,Full-Time,pond,cats,garbage,look left,maple syrup,yellow,song,lion,banjo,opera,potatoes,attention I1,sad,clap,window,dance,cave
1070,specific,1,5,60,20,5,35,40,15,2,5,50,75,10,0,50,20,White/Caucasian,Woman (including Trans Female/Trans Woman),English,51,Female,White,United States,United States,United States,English,No,Part-Time,window,look left,pond,opera,potatoes,maple syrup,cave,garbage,dance,clap,banjo,song,yellow,sad,lion,attention I1,cats
1071,specific,61,24,61,41,35,15,16,36,9,51,59,67,11,12,57,37,White/Caucasian,Woman (including Trans Female/Trans Woman),English,40,Female,White,United States,United States,United States,English,No,Part-Time,lion,cats,cave,pond,sad,garbage,opera,maple syrup,potatoes,clap,window,yellow,banjo,dance,song,attention I1,look left
1072,specific,1,1,1,5,2,1,50,3,1,1,5,1,1,1,25,10,Latino/Hispanic,Woman (including Trans Female/Trans Woman),"English, Spanish",33,Female,Mixed,United States,United States,United States,Spanish,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",yellow,pond,banjo,opera,window,potatoes,attention I1,lion,garbage,clap,maple syrup,song,cave,dance,sad,look left,cats
1073,generic,13,14,26,16,5,3,41,33,15,16,9,40,3,3,8,5,Black/African American,Woman (including Trans Female/Trans Woman),English,45,Female,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,pond,banjo,sad,cave,potatoes,maple syrup,yellow,lion,garbage,attention I1,window,look left,opera,dance,song,clap,cats
1074,baseline,90,71,51,14,46,77,3,33,18,11,46,59,43,8,90,25,White/Caucasian,Woman (including Trans Female/Trans Woman),English,52,Female,White,United States,United States,United States,English,No,Full-Time,look left,maple syrup,opera,attention I1,pond,banjo,sad,dance,yellow,lion,cats,song,potatoes,clap,window,cave,garbage
