hashed_id,Submission id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
034dcef65198,67cefd4eec2e1cb7f633d795,APPROVED,Not Applicable,2025-03-10T14:55:25Z,2025-03-10T15:03:06Z,2025-03-10T15:03:07Z,2025-03-10T15:03:06Z,461,CLKQ470I,3228,English,58,Male,White,United States,United States,United States,English,Yes,Full-Time
dca72d3d0936,67cefe923c136c4138b74a3c,APPROVED,Not Applicable,2025-03-10T15:00:39Z,2025-03-10T15:07:21Z,2025-03-10T15:07:22Z,2025-03-10T15:07:22Z,403,CLKQ470I,15,"English, Japanese",40,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking)
672364e6032a,67cefee806f6ddff77399915,APPROVED,Not Applicable,2025-03-10T15:02:05Z,2025-03-10T15:08:18Z,2025-03-10T15:08:19Z,2025-03-10T15:08:18Z,374,CLKQ470I,1693,English,41,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
3a1f8385c8a7,67ceff319cd1bac62ab986fa,APPROVED,Not Applicable,2025-03-10T15:03:56Z,2025-03-10T15:11:50Z,2025-03-10T15:11:51Z,2025-03-10T15:12:01Z,474,CLKQ470I,8,English,48,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
ace0c0d4054b,67ceff9927e0f1176aa92958,APPROVED,Not Applicable,2025-03-10T15:05:09Z,2025-03-10T15:10:08Z,2025-03-10T15:10:11Z,2025-03-10T15:10:11Z,300,CLKQ470I,165,English,18,Female,White,United States,United States,United States,English,Yes,Unemployed (and job seeking)
b34598945432,67ceff9dea7f3deb49540aa0,APPROVED,Not Applicable,2025-03-10T15:05:48Z,2025-03-10T15:14:52Z,2025-03-10T15:14:53Z,2025-03-10T15:14:55Z,544,CLKQ470I,359,"English, German",41,Male,Mixed,Germany,United States,United States,English,No,DATA_EXPIRED
1b5fef6fa1ba,67ceffbdb85009711594a72a,APPROVED,Not Applicable,2025-03-10T15:05:40Z,2025-03-10T15:12:10Z,2025-03-10T15:12:11Z,2025-03-10T15:12:22Z,390,CLKQ470I,678,English,32,Male,White,United States,United States,United States,English,Yes,Part-Time
691053929313,67ceffbf882b87db4936ece5,APPROVED,Not Applicable,2025-03-10T15:05:40Z,2025-03-10T15:11:09Z,2025-03-10T15:11:13Z,2025-03-10T15:11:30Z,329,CLKQ470I,99,"Hebrew, Russian, English",21,Female,White,United States,United States,Kazakhstan,English,Yes,Unemployed (and job seeking)
1bb5644e4f95,67cf00249642eb45efbb667d,APPROVED,Not Applicable,2025-03-10T15:07:23Z,2025-03-10T15:15:29Z,2025-03-10T15:15:31Z,2025-03-10T15:15:31Z,486,CLKQ470I,6267,English,52,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
d75a46d51171,67cf0040fc95dd8699a44c05,APPROVED,Not Applicable,2025-03-10T15:08:02Z,2025-03-10T15:15:04Z,2025-03-10T15:15:06Z,2025-03-10T15:15:05Z,422,CLKQ470I,999,English,30,Female,Mixed,United States,United States,Puerto Rico,English,No,Full-Time
882985fbe164,67cf00e588ac6082ae5c14a6,APPROVED,Not Applicable,2025-03-10T15:10:53Z,2025-03-10T15:18:24Z,2025-03-10T15:18:24Z,2025-03-10T15:18:24Z,451,CLKQ470I,1079,English,47,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
515dd0e790fe,67cf012e4ca0c09af71958d8,APPROVED,Not Applicable,2025-03-10T15:11:42Z,2025-03-10T15:25:19Z,2025-03-10T15:25:23Z,2025-03-10T15:25:20Z,818,CLKQ470I,117,English,53,Male,Black,United States,United States,United States,English,No,DATA_EXPIRED
d03660b7a115,67cf01755872d9996e1db70e,APPROVED,Not Applicable,2025-03-10T15:13:10Z,2025-03-10T15:23:29Z,2025-03-10T15:23:31Z,2025-03-10T15:23:31Z,619,CLKQ470I,1256,English,48,Female,Black,Germany,United States,United States,English,No,Part-Time
bbf0f63d800e,67cf01d9933c6fe37d876f59,APPROVED,Not Applicable,2025-03-10T15:14:40Z,2025-03-10T15:20:57Z,2025-03-10T15:20:58Z,2025-03-10T15:20:59Z,378,CLKQ470I,3868,English,29,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking)
