hashed_id,Submission id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
2362dbddc51d,69e69bd2d65c75602073f03e,APPROVED,Not Applicable,2026-04-20T21:34:19Z,2026-04-20T21:42:34Z,2026-04-20T21:42:37Z,2026-04-20T21:42:35Z,496,C1OBW8XB,646,63,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
96b45d2203e2,69e69bd4a712cd32e9f3dcd5,APPROVED,Not Applicable,2026-04-20T21:34:16Z,2026-04-20T21:41:00Z,2026-04-20T21:41:03Z,2026-04-20T21:41:01Z,405,C1OBW8XB,518,33,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
05e4db9226e3,69e69be99c35bdeb97c69662,APPROVED,Not Applicable,2026-04-20T21:34:38Z,2026-04-20T21:39:19Z,2026-04-20T21:39:20Z,2026-04-20T21:39:20Z,282,C1OBW8XB,380,39,Male,White,United States,United States,United States,English,No,Full-Time
792d5654b212,69e69bf06784b297895e9837,APPROVED,Not Applicable,2026-04-20T21:34:40Z,2026-04-20T21:42:16Z,2026-04-20T21:42:25Z,2026-04-20T21:42:18Z,457,C1OBW8XB,9832,62,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
07acca2ed819,69e69bf1d74ec34430f93cc0,APPROVED,Not Applicable,2026-04-20T21:35:08Z,2026-04-20T21:41:53Z,2026-04-20T21:41:56Z,2026-04-20T21:41:54Z,405,C1OBW8XB,486,40,Female,White,United States,United States,United States,English,No,Full-Time
8be493814185,69e69bf651666a793a366ba6,APPROVED,Not Applicable,2026-04-20T21:34:52Z,2026-04-20T21:49:04Z,2026-04-20T21:49:05Z,2026-04-20T21:49:05Z,853,C1OBW8XB,3174,33,Female,White,Poland,United States,United States,Polish,Yes,Full-Time
febabb98faac,69e69bf679947e05075a80cf,APPROVED,Not Applicable,2026-04-20T21:34:52Z,2026-04-20T21:40:18Z,2026-04-20T21:40:20Z,2026-04-20T21:40:18Z,326,C1OBW8XB,4696,45,Male,White,United States,United States,United States,English,No,Part-Time
97328df7a814,69e69bfbd5776a6db5837764,APPROVED,Not Applicable,2026-04-20T21:34:57Z,2026-04-20T21:40:30Z,2026-04-20T21:40:33Z,2026-04-20T21:40:30Z,334,C1OBW8XB,6257,71,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
4020d21e26a8,69e69bfd1cbc61851ce6e3e2,APPROVED,Not Applicable,2026-04-20T21:34:57Z,2026-04-20T21:40:32Z,2026-04-20T21:40:33Z,2026-04-20T21:40:33Z,335,C1OBW8XB,5449,30,Female,White,United States,United States,United States,English,No,Full-Time
700e2d8851c4,69e69bfdb1e57af932742923,APPROVED,Not Applicable,2026-04-20T21:35:37Z,2026-04-20T21:45:10Z,2026-04-20T21:45:16Z,2026-04-20T21:45:10Z,573,C1OBW8XB,4108,37,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
