condition,feature,prevalence
generic,chug_syrup,0.4460689789529048
generic,clap_three,0.5261871318479034
generic,dance_fire,0.5925900290746388
generic,farm_potatoes,0.5064206587047635
generic,go_opera,0.4314751679503789
generic,live_caves,0.49597693450437175
generic,look_left,0.49293313304547914
generic,paint_hands,0.5037616625851229
generic,play_banjo,0.4573541253589919
generic,ride_lions,0.35064049194115904
generic,scream_windows,0.4503531466645313
generic,sing_songs,0.685784546860878
generic,smell_garbage,0.40051280765393893
generic,smile_sad,0.48095041962855534
generic,wash_ponds,0.5615236305527515
generic,yell_cats,0.39728867242210725
baseline,chug_syrup,0.27887045562882956
baseline,clap_three,0.35755590665433173
baseline,dance_fire,0.46304442975450133
baseline,farm_potatoes,0.37417175623832144
baseline,go_opera,0.27520220141053214
baseline,live_caves,0.3578181046271763
baseline,look_left,0.3526766071409824
baseline,paint_hands,0.2962748413729206
baseline,play_banjo,0.2504290708045916
baseline,ride_lions,0.2098374950522201
baseline,scream_windows,0.23634729690865947
baseline,sing_songs,0.4878710431637029
baseline,smell_garbage,0.21945829945647566
baseline,smile_sad,0.330046620311379
baseline,wash_ponds,0.4728538326877311
baseline,yell_cats,0.19831197718300592
specific,chug_syrup,0.27887045562882956
specific,clap_three,0.35755590665433173
specific,dance_fire,0.46304442975450133
specific,farm_potatoes,0.37417175623832144
specific,go_opera,0.27520220141053214
specific,live_caves,0.3578181046271763
specific,look_left,0.3526766071409824
specific,paint_hands,0.2962748413729206
specific,play_banjo,0.2504290708045916
specific,ride_lions,0.2098374950522201
specific,scream_windows,0.23634729690865947
specific,sing_songs,0.4878710431637029
specific,smell_garbage,0.21945829945647566
specific,smile_sad,0.330046620311379
specific,wash_ponds,0.4728538326877311
specific,yell_cats,0.19831197718300592
