condition,feature,prevalence
generic,chug_syrup,0.3315365162038596
generic,clap_three,0.40633483655567326
generic,dance_fire,0.5005701328605566
generic,farm_potatoes,0.41647344332046865
generic,go_opera,0.3276763811232462
generic,live_caves,0.3947912167133464
generic,look_left,0.3993754540511877
generic,paint_hands,0.3654534657146201
generic,play_banjo,0.3222305582275475
generic,ride_lions,0.25085419717514584
generic,scream_windows,0.3099536849824096
generic,sing_songs,0.5555094214601075
generic,smell_garbage,0.2696892852025703
generic,smile_sad,0.37964834577709927
generic,wash_ponds,0.49549342241276934
generic,yell_cats,0.2648916991886386
baseline,chug_syrup,0.3315365162038596
baseline,clap_three,0.40633483655567326
baseline,dance_fire,0.5005701328605566
baseline,farm_potatoes,0.41647344332046865
baseline,go_opera,0.3276763811232462
baseline,live_caves,0.3947912167133464
baseline,look_left,0.3993754540511877
baseline,paint_hands,0.3654534657146201
baseline,play_banjo,0.3222305582275475
baseline,ride_lions,0.25085419717514584
baseline,scream_windows,0.3099536849824096
baseline,sing_songs,0.5555094214601075
baseline,smell_garbage,0.2696892852025703
baseline,smile_sad,0.37964834577709927
baseline,wash_ponds,0.49549342241276934
baseline,yell_cats,0.2648916991886386
specific,chug_syrup,0.3315365162038596
specific,clap_three,0.40633483655567326
specific,dance_fire,0.5005701328605566
specific,farm_potatoes,0.41647344332046865
specific,go_opera,0.3276763811232462
specific,live_caves,0.3947912167133464
specific,look_left,0.3993754540511877
specific,paint_hands,0.3654534657146201
specific,play_banjo,0.3222305582275475
specific,ride_lions,0.25085419717514584
specific,scream_windows,0.3099536849824096
specific,sing_songs,0.5555094214601075
specific,smell_garbage,0.2696892852025703
specific,smile_sad,0.37964834577709927
specific,wash_ponds,0.49549342241276934
specific,yell_cats,0.2648916991886386
