condition,feature,prevalence
generic,chug_syrup,0.4369616390053295
generic,clap_three,0.5232154266594728
generic,dance_fire,0.5911073389550602
generic,farm_potatoes,0.49728826695329137
generic,go_opera,0.4297445522787631
generic,live_caves,0.5028979168992711
generic,look_left,0.4925197585655082
generic,paint_hands,0.48811323751650637
generic,play_banjo,0.43764449640875436
generic,ride_lions,0.3489239492527788
generic,scream_windows,0.43589678495357853
generic,sing_songs,0.6553803209556475
generic,smell_garbage,0.39264213016865823
generic,smile_sad,0.4860844810777336
generic,wash_ponds,0.5689825523989491
generic,yell_cats,0.3847554575275627
baseline,chug_syrup,0.3286669038079505
baseline,clap_three,0.4029341645476613
baseline,dance_fire,0.4990974703575782
baseline,farm_potatoes,0.4182728151927408
baseline,go_opera,0.32494464505968834
baseline,live_caves,0.3891072999769205
baseline,look_left,0.3882976141256109
baseline,paint_hands,0.3616103794858515
baseline,play_banjo,0.31736173947379565
baseline,ride_lions,0.2471140616078974
baseline,scream_windows,0.30711927217505824
baseline,sing_songs,0.5529804825246496
baseline,smell_garbage,0.27579442677815064
baseline,smile_sad,0.3628058533478371
baseline,wash_ponds,0.491442444384588
baseline,yell_cats,0.26120104738384736
specific,chug_syrup,0.23572924637837894
specific,clap_three,0.299727924435741
specific,dance_fire,0.4201751276143106
specific,farm_potatoes,0.35047729534041977
specific,go_opera,0.23500080593380748
specific,live_caves,0.29150685015634337
specific,look_left,0.29889436762307947
specific,paint_hands,0.25310946162695347
specific,play_banjo,0.2141523732431301
specific,ride_lions,0.15978203112754738
specific,scream_windows,0.19665919202486534
specific,sing_songs,0.465088543098607
specific,smell_garbage,0.17557345866026966
specific,smile_sad,0.2570389512051233
specific,wash_ponds,0.4249119774026213
specific,yell_cats,0.15522369602659758
