condition,feature,prevalence
generic,chug_syrup,0.4374960794275169
generic,clap_three,0.5241570872169374
generic,dance_fire,0.5928173721751656
generic,farm_potatoes,0.49798059723502786
generic,go_opera,0.4299466638165608
generic,live_caves,0.5032976675881917
generic,look_left,0.49302863913435147
generic,paint_hands,0.4896589510810246
generic,play_banjo,0.4386839927566401
generic,ride_lions,0.3494770620709566
generic,scream_windows,0.43690988295936384
generic,sing_songs,0.6567000300357634
generic,smell_garbage,0.39348230324569844
generic,smile_sad,0.4864504630768985
generic,wash_ponds,0.5688397539167198
generic,yell_cats,0.3863426151546272
baseline,chug_syrup,0.3267545215657285
baseline,clap_three,0.4003502677135205
baseline,dance_fire,0.496503006187038
baseline,farm_potatoes,0.41660245466711887
baseline,go_opera,0.3231552398914629
baseline,live_caves,0.38749861881823733
baseline,look_left,0.3867885751856837
baseline,paint_hands,0.3588537778762006
baseline,play_banjo,0.31441910598188083
baseline,ride_lions,0.24559641705923152
baseline,scream_windows,0.30467876730039395
baseline,sing_songs,0.550550368427303
baseline,smell_garbage,0.2736959073533198
baseline,smile_sad,0.36130561478182865
baseline,wash_ponds,0.49065940405333003
baseline,yell_cats,0.2573634747749606
specific,chug_syrup,0.23627696435388962
specific,clap_three,0.29945603817489697
specific,dance_fire,0.41836624142403916
specific,farm_potatoes,0.350297047619932
specific,go_opera,0.23588792481127507
specific,live_caves,0.29355323238422376
specific,look_left,0.3005131358958353
specific,paint_hands,0.25279566510945123
specific,play_banjo,0.21314923443880918
specific,ride_lions,0.16126708678336954
specific,scream_windows,0.19740356991039001
specific,sing_songs,0.4637016052930737
specific,smell_garbage,0.176568579863394
specific,smile_sad,0.25946246468447354
specific,wash_ponds,0.4269088228189313
specific,yell_cats,0.15275949937631383
