condition,feature,prevalence
generic,chug_syrup,0.5510932070360082
generic,clap_three,0.5849791150984212
generic,dance_fire,0.6585643016273347
generic,farm_potatoes,0.5665704834405938
generic,go_opera,0.5198708028689247
generic,live_caves,0.5233131532979007
generic,look_left,0.5820853157100793
generic,paint_hands,0.562934230831599
generic,play_banjo,0.5276029158893373
generic,ride_lions,0.47269606505986983
generic,scream_windows,0.5108941596426274
generic,sing_songs,0.7813429066483685
generic,smell_garbage,0.4869500038919714
generic,smile_sad,0.5659070545425964
generic,wash_ponds,0.6063878354063778
generic,yell_cats,0.46346883208282785
baseline,chug_syrup,0.3216155690995003
baseline,clap_three,0.3391282923541532
baseline,dance_fire,0.4494717833067208
baseline,farm_potatoes,0.37983097478055206
baseline,go_opera,0.32701534530829973
baseline,live_caves,0.37311211513337206
baseline,look_left,0.3802439773834231
baseline,paint_hands,0.3367234766370185
baseline,play_banjo,0.30424923804735926
baseline,ride_lions,0.2492427338246167
baseline,scream_windows,0.28545840646100423
baseline,sing_songs,0.5214897664999153
baseline,smell_garbage,0.25642067782051764
baseline,smile_sad,0.35629421569420494
baseline,wash_ponds,0.45943911763043055
baseline,yell_cats,0.24183733553947534
specific,chug_syrup,0.3216155690995003
specific,clap_three,0.3391282923541532
specific,dance_fire,0.4494717833067208
specific,farm_potatoes,0.37983097478055206
specific,go_opera,0.32701534530829973
specific,live_caves,0.37311211513337206
specific,look_left,0.3802439773834231
specific,paint_hands,0.3367234766370185
specific,play_banjo,0.30424923804735926
specific,ride_lions,0.2492427338246167
specific,scream_windows,0.28545840646100423
specific,sing_songs,0.5214897664999153
specific,smell_garbage,0.25642067782051764
specific,smile_sad,0.35629421569420494
specific,wash_ponds,0.45943911763043055
specific,yell_cats,0.24183733553947534
