condition,feature,prevalence
generic,chug_syrup,0.39951723700944525
generic,clap_three,0.4197356168588356
generic,dance_fire,0.5203474376068524
generic,farm_potatoes,0.4422109578480968
generic,go_opera,0.39436535777257464
generic,live_caves,0.40720193522083536
generic,look_left,0.45224423061595154
generic,paint_hands,0.4146214630717091
generic,play_banjo,0.38180575803750627
generic,ride_lions,0.32250759195471085
generic,scream_windows,0.3589565049367919
generic,sing_songs,0.6089722916139104
generic,smell_garbage,0.3187711458827303
generic,smile_sad,0.4257194736214406
generic,wash_ponds,0.5065059960813028
generic,yell_cats,0.3161298301959539
baseline,chug_syrup,0.39951723700944525
baseline,clap_three,0.4197356168588356
baseline,dance_fire,0.5203474376068524
baseline,farm_potatoes,0.4422109578480968
baseline,go_opera,0.39436535777257464
baseline,live_caves,0.40720193522083536
baseline,look_left,0.45224423061595154
baseline,paint_hands,0.4146214630717091
baseline,play_banjo,0.38180575803750627
baseline,ride_lions,0.32250759195471085
baseline,scream_windows,0.3589565049367919
baseline,sing_songs,0.6089722916139104
baseline,smell_garbage,0.3187711458827303
baseline,smile_sad,0.4257194736214406
baseline,wash_ponds,0.5065059960813028
baseline,yell_cats,0.3161298301959539
specific,chug_syrup,0.39951723700944525
specific,clap_three,0.4197356168588356
specific,dance_fire,0.5203474376068524
specific,farm_potatoes,0.4422109578480968
specific,go_opera,0.39436535777257464
specific,live_caves,0.40720193522083536
specific,look_left,0.45224423061595154
specific,paint_hands,0.4146214630717091
specific,play_banjo,0.38180575803750627
specific,ride_lions,0.32250759195471085
specific,scream_windows,0.3589565049367919
specific,sing_songs,0.6089722916139104
specific,smell_garbage,0.3187711458827303
specific,smile_sad,0.4257194736214406
specific,wash_ponds,0.5065059960813028
specific,yell_cats,0.3161298301959539
