condition,feature,prevalence
generic,chug_syrup,0.5266538151429683
generic,clap_three,0.562106835175393
generic,dance_fire,0.6406975100087611
generic,farm_potatoes,0.5463402113583472
generic,go_opera,0.4960779197892669
generic,live_caves,0.5316254883421193
generic,look_left,0.5565621668876202
generic,paint_hands,0.5424281788016704
generic,play_banjo,0.49750146788550015
generic,ride_lions,0.45372879498156804
generic,scream_windows,0.4789518099926359
generic,sing_songs,0.7350965372017803
generic,smell_garbage,0.4668498188206256
generic,smile_sad,0.5563506268136484
generic,wash_ponds,0.5914743473452201
generic,yell_cats,0.44403737904955376
baseline,chug_syrup,0.41655337100979595
baseline,clap_three,0.4398811719954739
baseline,dance_fire,0.5409230317999902
baseline,farm_potatoes,0.45918095178814533
baseline,go_opera,0.40768765110680294
baseline,live_caves,0.4259143440347833
baseline,look_left,0.46540985488167697
baseline,paint_hands,0.43054902911201387
baseline,play_banjo,0.3982963720657594
baseline,ride_lions,0.33972889364038433
baseline,scream_windows,0.38350357642957844
baseline,sing_songs,0.6278136620619562
baseline,smell_garbage,0.35194472588207376
baseline,smile_sad,0.4431211271597624
baseline,wash_ponds,0.5209174207304342
baseline,yell_cats,0.3376665432849711
specific,chug_syrup,0.25667478608429245
specific,clap_three,0.26241214926939693
specific,dance_fire,0.3960782755482651
specific,farm_potatoes,0.3326307231356621
specific,go_opera,0.2793303620259301
specific,live_caves,0.27245533486161444
specific,look_left,0.33307757089270257
specific,paint_hands,0.26813842983071784
specific,play_banjo,0.2542512367344964
specific,ride_lions,0.1742291077882942
specific,scream_windows,0.24493936752565984
specific,sing_songs,0.47201357697973323
specific,smell_garbage,0.18514031005847353
specific,smile_sad,0.2787237635206105
specific,wash_ponds,0.41847234577262077
specific,yell_cats,0.18324778690780513
