condition,feature,prevalence
generic,chug_syrup,0.5245741302014225
generic,clap_three,0.5612456012163445
generic,dance_fire,0.6435239754468711
generic,farm_potatoes,0.5455958219054055
generic,go_opera,0.4939053514411123
generic,live_caves,0.5309695082831578
generic,look_left,0.5555142909409606
generic,paint_hands,0.5415940504352965
generic,play_banjo,0.49655011162902024
generic,ride_lions,0.4527924589398323
generic,scream_windows,0.47871008339414073
generic,sing_songs,0.733085287468818
generic,smell_garbage,0.4663470504264964
generic,smile_sad,0.5546841710901751
generic,wash_ponds,0.5925464309913703
generic,yell_cats,0.44302222381052414
baseline,chug_syrup,0.4136941250489492
baseline,clap_three,0.43620795158468145
baseline,dance_fire,0.5365490160179833
baseline,farm_potatoes,0.4563224601451695
baseline,go_opera,0.40532834695790876
baseline,live_caves,0.42233592972891915
baseline,look_left,0.46275200513545484
baseline,paint_hands,0.42758149252163163
baseline,play_banjo,0.39517319505930526
baseline,ride_lions,0.33592953729706715
baseline,scream_windows,0.3806400558316426
baseline,sing_songs,0.6248244137013466
baseline,smell_garbage,0.34793972779563814
baseline,smile_sad,0.4400944122425052
baseline,wash_ponds,0.5182695502106092
baseline,yell_cats,0.3347720160341545
specific,chug_syrup,0.2600038508401249
specific,clap_three,0.26332022246140147
specific,dance_fire,0.3892793799547655
specific,farm_potatoes,0.3329013344990054
specific,go_opera,0.2825411470105253
specific,live_caves,0.2727698003453364
specific,look_left,0.33492259086359555
specific,paint_hands,0.27070098919818675
specific,play_banjo,0.2550033715596225
specific,ride_lions,0.1749459332820813
specific,scream_windows,0.24562900933520063
specific,sing_songs,0.47457694768442943
specific,smell_garbage,0.18500926111942576
specific,smile_sad,0.2818633264037954
specific,wash_ponds,0.41549420715902663
specific,yell_cats,0.18579146581170877
