condition,feature,prevalence
0/12,maple_syrup,0.28451838132773116
0/12,clap,0.29903307311595834
0/12,dance,0.4165457716974408
0/12,potatoes,0.34453364492540156
0/12,opera,0.323416077239396
0/12,cave,0.23271197618880618
0/12,look_left,0.34074891514870753
0/12,yellow,0.28597981836058883
0/12,banjo,0.3037943991089177
0/12,lion,0.16324278867585162
0/12,window,0.20718782187804932
0/12,song,0.5312789004900201
0/12,garbage,0.17266087078742834
0/12,sad,0.3111014405979378
0/12,pond,0.4252877764196898
0/12,cats,0.16012061822058166
0/16,maple_syrup,0.2823587146251632
0/16,clap,0.2962697933161633
0/16,dance,0.4140647451569284
0/16,potatoes,0.3428731224660233
0/16,opera,0.3218370381669375
0/16,cave,0.2302614754735469
0/16,look_left,0.3389961107314179
0/16,yellow,0.2833930792374829
0/16,banjo,0.3019493374925237
0/16,lion,0.1610320902815605
0/16,window,0.2044342520964211
0/16,song,0.5290184882840516
0/16,garbage,0.1700385360340096
0/16,sad,0.3093323951883071
0/16,pond,0.4235294943582531
0/16,cats,0.157774801556799
0/4,maple_syrup,0.2975012315393023
0/4,clap,0.315327181111913
0/4,dance,0.43138376114803423
0/4,potatoes,0.3545309261833729
0/4,opera,0.3328084032836147
0/4,cave,0.24743001652763463
0/4,look_left,0.35116576423328055
0/4,yellow,0.3014138341238477
0/4,banjo,0.31485664537198793
0/4,lion,0.17653965472457445
0/4,window,0.22364687628327867
0/4,song,0.544733076853068
0/4,garbage,0.18844458277338402
0/4,sad,0.321560947493667
0/4,pond,0.4358043707517799
0/4,cats,0.1741732543716491
0/8,maple_syrup,0.2883582781016396
0/8,clap,0.303899972677621
0/8,dance,0.4209455403102137
0/8,potatoes,0.34748375430505224
0/8,opera,0.32621629254200424
0/8,cave,0.2370538288507178
0/8,look_left,0.34384583041898586
0/8,yellow,0.2905516546806597
0/8,banjo,0.3070749875307258
0/8,lion,0.16717343409006521
0/8,window,0.21206933709466635
0/8,song,0.5352896276849425
0/8,garbage,0.17731914373036517
0/8,sad,0.3142201973840508
0/8,pond,0.42839203261231384
0/8,cats,0.1642834971021083
12/12,maple_syrup,0.4798405677907365
12/12,clap,0.547484185181881
12/12,dance,0.64490533001189
12/12,potatoes,0.49631859407835555
12/12,opera,0.4647169212625574
12/12,cave,0.45958253259232823
12/12,look_left,0.5009897820616798
12/12,yellow,0.5246212164911743
12/12,banjo,0.4713820249803292
12/12,lion,0.3671682242981819
12/12,window,0.4605502736911455
12/12,song,0.7328793611481401
12/12,garbage,0.4158387581005193
12/12,sad,0.47117714847463454
12/12,pond,0.585362481812433
12/12,cats,0.3765143104680137
12/16,maple_syrup,0.4357165835544192
12/16,clap,0.4911468173633735
12/16,dance,0.5935928317972912
12/16,potatoes,0.4621293312067157
12/16,opera,0.4326906597181207
12/16,cave,0.4086395986917652
12/16,look_left,0.4648681150515608
12/16,yellow,0.4709596146721212
12/16,banjo,0.4335919046259119
12/16,lion,0.32140019302116274
12/16,window,0.4036087512692682
12/16,song,0.6871417546703641
12/16,garbage,0.3613245756137737
12/16,sad,0.43495800560596876
12/16,pond,0.5491677617235198
12/16,cats,0.32793126183194155
16/16,maple_syrup,0.4820167849645874
16/16,clap,0.5502320840732853
16/16,dance,0.6473838805725375
16/16,potatoes,0.49799148912147756
16/16,opera,0.46629533876903445
16/16,cave,0.4620420764201865
16/16,look_left,0.5027367060666397
16/16,yellow,0.5272050796588701
16/16,banjo,0.47323271239353176
16/16,lion,0.3693854707317723
16/16,window,0.463300365569542
16/16,song,0.7351415930295717
16/16,garbage,0.4184698844659654
16/16,sad,0.4729376124432078
16/16,pond,0.5871321707710545
16/16,cats,0.3788596506432153
4/12,maple_syrup,0.34688486698306725
4/12,clap,0.378705441215874
4/12,dance,0.4893433988599103
4/12,potatoes,0.3930266569172171
4/12,opera,0.36847646403130946
4/12,cave,0.3052869606745203
4/12,look_left,0.39200160810522944
4/12,yellow,0.3623773028124221
4/12,banjo,0.35717233166080586
4/12,lion,0.22818329719157995
4/12,window,0.28797653342175666
4/12,song,0.5955740571170163
4/12,garbage,0.25019855413529496
4/12,sad,0.3623966781159361
4/12,pond,0.47678088733741586
4/12,cats,0.22907490174702402
4/16,maple_syrup,0.32883710939173877
4/16,clap,0.355273461800972
4/16,dance,0.4678706104371509
4/16,potatoes,0.3788442738065493
4/16,opera,0.355473032072811
4/16,cave,0.28368712498214554
4/16,look_left,0.37683247131170927
4/16,yellow,0.33958705649646675
4/16,banjo,0.34167951446542943
4/16,lion,0.20910371998388838
4/16,window,0.264134993992871
4/16,song,0.5770861554005471
4/16,garbage,0.22726184628838184
4/16,sad,0.34726411213984987
4/16,pond,0.46149703525566427
4/16,cats,0.20873094657933738
4/4,maple_syrup,0.46677276881063545
4/4,clap,0.5309717452290761
4/4,dance,0.6299094733345887
4/4,potatoes,0.486239242698238
4/4,opera,0.45525273947082806
4/4,cave,0.4446930717660477
4/4,look_left,0.4904402404242777
4/4,yellow,0.5089813575198554
4/4,banjo,0.46024055326856883
4/4,lion,0.35375454707925114
4/4,window,0.44391259044247366
4/4,song,0.7193329673979305
4/4,garbage,0.3998975542522447
4/4,sad,0.46057812556630573
4/4,pond,0.5747162771072749
4/4,cats,0.36231653732122476
4/8,maple_syrup,0.3804511789252723
4/8,clap,0.42466772171161793
4/8,dance,0.5308033398420196
4/8,potatoes,0.4192904427320671
4/8,opera,0.3937329757699839
4/8,cave,0.3456387270623403
4/8,look_left,0.42144933676942714
4/8,yellow,0.4058930599866855
4/8,banjo,0.38672446672811184
4/8,lion,0.26441332872618395
4/8,window,0.3340444469071726
4/8,song,0.6313135366666188
4/8,garbage,0.29345589385384274
4/8,sad,0.39196033332523117
4/8,pond,0.5047315607901691
4/8,cats,0.2682174373097132
8/12,maple_syrup,0.41717561732493513
8/12,clap,0.4674318991554347
8/12,dance,0.5717197039008299
8/12,potatoes,0.4478637064093858
8/12,opera,0.41894494553059214
8/12,cave,0.3874882685439823
8/12,look_left,0.4496140264081964
8/12,yellow,0.4485401197290614
8/12,banjo,0.4174372150642734
8/12,lion,0.3019272166477862
8/12,window,0.37935212325474416
8/12,song,0.6675267409330846
8/12,garbage,0.3383293925328176
8/12,sad,0.4197075449982317
8/12,pond,0.5345314428790582
