condition,feature,prevalence
0/12,maple_syrup,0.30577663665758825
0/12,clap,0.346029563321723
0/12,dance,0.499944572346255
0/12,potatoes,0.3796628515783981
0/12,opera,0.3535569639191341
0/12,cave,0.2853924584269638
0/12,look_left,0.41662694444086057
0/12,yellow,0.33294419895599797
0/12,banjo,0.33171777272667513
0/12,lion,0.21245521369233336
0/12,window,0.28061436089921443
0/12,song,0.5827126652115474
0/12,garbage,0.23747441303660066
0/12,sad,0.36172550992194985
0/12,pond,0.4678668673680235
0/12,cats,0.23135904690406922
0/16,maple_syrup,0.30577663665758825
0/16,clap,0.346029563321723
0/16,dance,0.499944572346255
0/16,potatoes,0.3796628515783981
0/16,opera,0.3535569639191341
0/16,cave,0.2853924584269638
0/16,look_left,0.41662694444086057
0/16,yellow,0.33294419895599797
0/16,banjo,0.33171777272667513
0/16,lion,0.21245521369233336
0/16,window,0.28061436089921443
0/16,song,0.5827126652115474
0/16,garbage,0.23747441303660066
0/16,sad,0.36172550992194985
0/16,pond,0.4678668673680235
0/16,cats,0.23135904690406925
0/4,maple_syrup,0.30577663665758825
0/4,clap,0.346029563321723
0/4,dance,0.499944572346255
0/4,potatoes,0.3796628515783981
0/4,opera,0.3535569639191341
0/4,cave,0.2853924584269638
0/4,look_left,0.41662694444086057
0/4,yellow,0.33294419895599797
0/4,banjo,0.33171777272667513
0/4,lion,0.21245521369233336
0/4,window,0.28061436089921443
0/4,song,0.5827126652115474
0/4,garbage,0.23747441303660066
0/4,sad,0.36172550992194985
0/4,pond,0.4678668673680235
0/4,cats,0.23135904690406922
0/8,maple_syrup,0.30577663665758825
0/8,clap,0.346029563321723
0/8,dance,0.499944572346255
0/8,potatoes,0.3796628515783981
0/8,opera,0.3535569639191341
0/8,cave,0.2853924584269638
0/8,look_left,0.41662694444086057
0/8,yellow,0.33294419895599797
0/8,banjo,0.33171777272667513
0/8,lion,0.21245521369233336
0/8,window,0.28061436089921443
0/8,song,0.5827126652115474
0/8,garbage,0.23747441303660066
0/8,sad,0.36172550992194985
0/8,pond,0.4678668673680235
0/8,cats,0.23135904690406922
12/12,maple_syrup,0.43027788205822753
12/12,clap,0.48327598073261546
12/12,dance,0.5775299090711001
12/12,potatoes,0.4544601464396587
12/12,opera,0.424957057792674
12/12,cave,0.39949961341052964
12/12,look_left,0.4412199062206502
12/12,yellow,0.4627448215254388
12/12,banjo,0.42514665809741076
12/12,lion,0.31596050848855606
12/12,window,0.3872741182926667
12/12,song,0.6783555946034677
12/12,garbage,0.35399921000372503
12/12,sad,0.42460267319985245
12/12,pond,0.5366466884663351
12/12,cats,0.3126667157535856
12/16,maple_syrup,0.4302745498860637
12/16,clap,0.48327143653159144
12/16,dance,0.5775274503169873
12/16,potatoes,0.4544594694185652
12/16,opera,0.4249522668536514
12/16,cave,0.39950024894350983
12/16,look_left,0.44121930682523336
12/16,yellow,0.4627442610329756
12/16,banjo,0.4251422263819879
12/16,lion,0.3159576390684817
12/16,window,0.38727080739834313
12/16,song,0.6783489491031124
12/16,garbage,0.3539977452319888
12/16,sad,0.4246008884056566
12/16,pond,0.536648484563257
12/16,cats,0.3126642791133039
16/16,maple_syrup,0.43169290200063776
16/16,clap,0.48481397472433607
16/16,dance,0.5783696234618904
16/16,potatoes,0.45529321736787065
16/16,opera,0.4257724058844855
16/16,cave,0.4007317614393756
16/16,look_left,0.4414882322876192
16/16,yellow,0.4641429625750222
16/16,banjo,0.4261911720441873
16/16,lion,0.3170845923759266
16/16,window,0.38842861798639794
16/16,song,0.6794570306847079
16/16,garbage,0.3552530573408422
16/16,sad,0.4252999227976547
16/16,pond,0.5374168011148505
16/16,cats,0.31354441132288247
4/12,maple_syrup,0.421285772937234
4/12,clap,0.4735615196887039
4/12,dance,0.5721602352729727
4/12,potatoes,0.4491526179849425
4/12,opera,0.41978811672979655
4/12,cave,0.39162837496148195
4/12,look_left,0.43951252237938376
4/12,yellow,0.45382883689041226
4/12,banjo,0.41848699173370446
4/12,lion,0.3087598614304005
4/12,window,0.3798939135543443
4/12,song,0.6713795827130292
4/12,garbage,0.34596328558167166
4/12,sad,0.42018709953110717
4/12,pond,0.5317750787220704
4/12,cats,0.30704819429770436
4/16,maple_syrup,0.421312261445482
4/16,clap,0.47353386910796447
4/16,dance,0.5721565573018015
4/16,potatoes,0.4491668935888576
4/16,opera,0.41978780623727197
4/16,cave,0.39163575258227784
4/16,look_left,0.4395093041309366
4/16,yellow,0.45381904779303
4/16,banjo,0.41849536114349445
4/16,lion,0.30876727050649405
4/16,window,0.37988789978954374
4/16,song,0.6713829356774811
4/16,garbage,0.34597151098463597
4/16,sad,0.4201758094273948
4/16,pond,0.5317841532106912
4/16,cats,0.30704627089220826
4/4,maple_syrup,0.4213343334222384
4/4,clap,0.47355117379184786
4/4,dance,0.5721679202542221
4/4,potatoes,0.4491699877282387
4/4,opera,0.4198151338094987
4/4,cave,0.39162479566642644
4/4,look_left,0.43951131979017616
4/4,yellow,0.4538130989226486
4/4,banjo,0.41852198216085706
4/4,lion,0.3087824446950758
4/4,window,0.3799028573732353
4/4,song,0.6714220312688202
4/4,garbage,0.3459760173915144
4/4,sad,0.42018208716803274
4/4,pond,0.5317676308427596
4/4,cats,0.3070576578803241
4/8,maple_syrup,0.42120310458532084
4/8,clap,0.47361979572902957
4/8,dance,0.572162333494426
4/8,potatoes,0.4491142749930596
4/8,opera,0.41977126140817345
4/8,cave,0.3916194736345284
4/8,look_left,0.43951947072880576
4/8,yellow,0.45386024624781446
4/8,banjo,0.4184483639105502
4/8,lion,0.30873133456062235
4/8,window,0.3798996728482768
4/8,song,0.6713459927282558
4/8,garbage,0.3459404124356278
4/8,sad,0.42021162006757057
4/8,pond,0.5317656598117555
4/8,cats,0.3070458942249948
8/12,maple_syrup,0.42771552278916536
8/12,clap,0.4804480296628548
8/12,dance,0.5759867256555955
8/12,potatoes,0.45295513063890486
8/12,opera,0.4234556386499697
8/12,cave,0.39726799884822245
8/12,look_left,0.44072715575191
8/12,yellow,0.4601932854248053
8/12,banjo,0.4232335193474358
8/12,lion,0.3139051697373941
8/12,window,0.3851523202302969
8/12,song,0.6763305154754283
8/12,garbage,0.3517147130613387
8/12,sad,0.42332149015824055
8/12,pond,0.5352691129517521
8/12,cats,0.31105516614710094
8/16,maple_syrup,0.427690452974427
8/16,clap,0.48048044798473705
8/16,dance,0.5759925150660229
8/16,potatoes,0.452941024831434
8/16,opera,0.4234595331568903
8/16,cave,0.3972605183024772
8/16,look_left,0.4407309909254571
8/16,yellow,0.4602043215844467
8/16,banjo,0.42322814780361745
8/16,lion,0.313899850987004
8/16,window,0.38516122131928543
8/16,song,0.6763319055691215
8/16,garbage,0.35170770175385346
8/16,sad,0.4233346743469331
8/16,pond,0.5352589203195188
8/16,cats,0.31105913925801865
8/8,maple_syrup,0.4276774853094611
8/8,clap,0.4804836134616079
8/8,dance,0.5759908336043041
8/8,potatoes,0.4529328526031585
8/8,opera,0.423458269570651
8/8,cave,0.39725139184478026
8/8,look_left,0.4407309529287454
8/8,yellow,0.4602004514420369
8/8,banjo,0.4232231120857016
8/8,lion,0.313893732001947
8/8,window,0.3851591499347671
8/8,song,0.6763292236857403
8/8,garbage,0.3516997275531536
8/8,sad,0.4233355857006442
8/8,pond,0.5352506836550016
8/8,cats,0.311056740323583
baseline,maple_syrup,0.30577663665758825
baseline,clap,0.346029563321723
baseline,dance,0.499944572346255
baseline,potatoes,0.3796628515783981
baseline,opera,0.3535569639191341
baseline,cave,0.2853924584269638
baseline,look_left,0.41662694444086057
baseline,yellow,0.33294419895599797
baseline,banjo,0.33171777272667513
baseline,lion,0.21245521369233336
baseline,window,0.28061436089921443
baseline,song,0.5827126652115474
baseline,garbage,0.23747441303660066
baseline,sad,0.36172550992194985
baseline,pond,0.4678668673680235
baseline,cats,0.23135904690406925
