feature,trait,a_kl,b_kl,a_nkl,b_nkl,mean_kl,mean_nkl
can eat spicy food,diet,0.7459,0.3391,3.9624,3.2696,0.6875,0.5479
eat breakfast very late,diet,0.8100,0.4630,2.2949,5.1486,0.6363,0.3083
eat five meals a day,diet,0.6666,0.3625,1.2138,1.9367,0.6478,0.3853
like juice with pulp,diet,0.7566,0.3798,5.6933,5.2110,0.6658,0.5221
put pepper on all their foods,diet,0.6325,0.4164,1.5393,2.3107,0.6030,0.3998
cry easily,personality,0.8976,0.5582,2.7707,4.4641,0.6166,0.3830
like to collect rocks,personality,0.6188,0.3001,1.1879,1.8843,0.6734,0.3867
like to dance,personality,1.3490,0.3358,6.6331,3.2705,0.8007,0.6698
like to give high-fives,personality,0.8827,0.2926,5.1973,2.7896,0.7510,0.6507
like to read books,personality,0.9765,0.3435,5.2916,3.1848,0.7398,0.6243
can roll their tongue,physical,0.7126,0.3843,1.8339,2.8912,0.6497,0.3881
can snap with their toes,physical,0.5501,0.3133,0.7162,1.8758,0.6371,0.2763
can wiggle their ears,physical,0.7161,0.3216,1.1696,2.4133,0.6901,0.3264
have cold hands and feet,physical,0.6840,0.4019,2.4249,4.1054,0.6299,0.3713
snore when they sleep,physical,0.9472,0.5685,4.3304,4.9528,0.6249,0.4665
